badge_number,position,work_date,punch_count,hours_worked,status,is_absent
EMP1004,TECHNICIAN,2026-04-09,4,9.066666666666666,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-15,4,7.95,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-10,4,7.75,PRESENT,0
EMP1006,SUPERVISOR,2026-04-08,6,10.016666666666667,PRESENT,0
EMP1027,ENGINEER,2026-04-07,2,9.183333333333334,PRESENT,0
EMP1028,TECHNICIAN,2026-04-16,2,9.866666666666667,PRESENT,0
EMP1007,CLERK,2026-04-01,4,8.416666666666666,PRESENT,0
EMP1027,ENGINEER,2026-04-03,2,7.333333333333333,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-10,4,9.066666666666666,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-06,2,9.666666666666666,PRESENT,0
EMP1001,LABORER,2026-04-06,0,0.0,ABSENT,1
EMP1015,CLERK,2026-04-02,6,9.333333333333334,PRESENT,0
EMP1004,TECHNICIAN,2026-04-14,0,0.0,ABSENT,1
EMP1015,CLERK,2026-04-01,4,9.5,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-14,0,0.0,ABSENT,1
EMP1003,ENGINEER,2026-04-08,4,10.0,PRESENT,0
EMP1027,ENGINEER,2026-04-06,6,9.366666666666667,PRESENT,0
EMP1028,TECHNICIAN,2026-04-06,4,8.433333333333334,PRESENT,0
EMP1017,LABORER,2026-04-07,2,7.916666666666667,PRESENT,0
EMP1011,ENGINEER,2026-04-03,6,8.666666666666666,PRESENT,0
EMP1020,TECHNICIAN,2026-04-02,2,10.45,PRESENT,0
EMP1025,LABORER,2026-04-15,4,8.133333333333333,PRESENT,0
EMP1001,LABORER,2026-04-08,4,9.566666666666666,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-14,6,9.25,PRESENT,0
EMP1003,ENGINEER,2026-04-07,6,9.966666666666667,PRESENT,0
EMP1006,SUPERVISOR,2026-04-06,6,9.25,PRESENT,0
EMP1004,TECHNICIAN,2026-04-02,6,9.066666666666666,PRESENT,0
EMP1009,LABORER,2026-04-03,4,8.733333333333333,PRESENT,0
EMP1021,DRIVER,2026-04-06,6,8.666666666666666,PRESENT,0
EMP1017,LABORER,2026-04-03,4,7.95,PRESENT,0
EMP1019,ENGINEER,2026-04-03,4,8.716666666666667,PRESENT,0
EMP1013,DRIVER,2026-04-02,4,8.816666666666666,PRESENT,0
EMP1028,TECHNICIAN,2026-04-02,6,8.016666666666667,PRESENT,0
EMP1029,DRIVER,2026-04-07,4,9.383333333333333,PRESENT,0
EMP1013,DRIVER,2026-04-14,4,10.716666666666667,PRESENT,0
EMP1006,SUPERVISOR,2026-04-14,4,8.266666666666667,PRESENT,0
EMP1015,CLERK,2026-04-08,4,9.633333333333333,PRESENT,0
EMP1021,DRIVER,2026-04-16,4,9.733333333333333,PRESENT,0
EMP1012,TECHNICIAN,2026-04-02,2,9.033333333333333,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-13,2,7.766666666666667,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-08,2,7.55,PRESENT,0
EMP1021,DRIVER,2026-04-03,4,7.783333333333333,PRESENT,0
EMP1030,SUPERVISOR,2026-04-10,4,7.4,PRESENT,0
EMP1001,LABORER,2026-04-14,4,8.533333333333333,PRESENT,0
EMP1022,SUPERVISOR,2026-04-14,0,0.0,ABSENT,1
EMP1014,SUPERVISOR,2026-04-14,4,9.25,PRESENT,0
EMP1030,SUPERVISOR,2026-04-13,4,8.3,PRESENT,0
EMP1029,DRIVER,2026-04-01,2,9.35,PRESENT,0
EMP1001,LABORER,2026-04-10,4,8.666666666666666,PRESENT,0
