badge_number,position,department,work_date,day_of_week,punch_count,hours_worked,status,is_absent,prior_records,prior_absence_rate,prior_avg_hours
EMP1001,LABORER,Logistics,2026-04-01,Wednesday,4,8.2,PRESENT,0,0,,
EMP1001,LABORER,Logistics,2026-04-02,Thursday,4,10.133333333333333,PRESENT,0,1,0.0,8.2
EMP1001,LABORER,Logistics,2026-04-03,Friday,4,8.7,PRESENT,0,2,0.0,9.166666666666666
EMP1001,LABORER,Logistics,2026-04-06,Monday,0,0.0,ABSENT,1,3,0.0,9.011111111111111
EMP1001,LABORER,Logistics,2026-04-07,Tuesday,4,8.066666666666666,PRESENT,0,4,0.25,6.758333333333332
EMP1001,LABORER,Logistics,2026-04-08,Wednesday,4,9.566666666666666,PRESENT,0,5,0.2,7.019999999999999
EMP1001,LABORER,Logistics,2026-04-09,Thursday,4,7.6,PRESENT,0,6,0.16666666666666666,7.444444444444444
EMP1001,LABORER,Logistics,2026-04-10,Friday,4,8.666666666666666,PRESENT,0,7,0.14285714285714285,7.466666666666667
EMP1001,LABORER,Logistics,2026-04-13,Monday,4,9.233333333333333,PRESENT,0,8,0.125,7.616666666666665
EMP1001,LABORER,Logistics,2026-04-14,Tuesday,4,8.533333333333333,PRESENT,0,9,0.1111111111111111,7.796296296296295
EMP1001,LABORER,Logistics,2026-04-15,Wednesday,6,7.85,PRESENT,0,10,0.1,7.87
EMP1001,LABORER,Logistics,2026-04-16,Thursday,4,8.35,PRESENT,0,11,0.09090909090909091,7.868181818181818
EMP1002,ADMINISTRATOR,Management,2026-04-01,Wednesday,2,9.6,PRESENT,0,0,,
EMP1002,ADMINISTRATOR,Management,2026-04-02,Thursday,4,9.416666666666666,PRESENT,0,1,0.0,9.6
EMP1002,ADMINISTRATOR,Management,2026-04-03,Friday,2,8.366666666666667,PRESENT,0,2,0.0,9.508333333333333
EMP1002,ADMINISTRATOR,Management,2026-04-06,Monday,6,9.616666666666667,PRESENT,0,3,0.0,9.127777777777778
EMP1002,ADMINISTRATOR,Management,2026-04-07,Tuesday,4,9.516666666666667,PRESENT,0,4,0.0,9.25
EMP1002,ADMINISTRATOR,Management,2026-04-08,Wednesday,4,10.583333333333334,PRESENT,0,5,0.0,9.303333333333333
EMP1002,ADMINISTRATOR,Management,2026-04-09,Thursday,4,9.75,PRESENT,0,6,0.0,9.516666666666666
EMP1002,ADMINISTRATOR,Management,2026-04-10,Friday,2,7.816666666666666,PRESENT,0,7,0.0,9.55
EMP1002,ADMINISTRATOR,Management,2026-04-13,Monday,6,7.933333333333334,PRESENT,0,8,0.0,9.333333333333332
EMP1002,ADMINISTRATOR,Management,2026-04-14,Tuesday,6,9.25,PRESENT,0,9,0.0,9.177777777777777
EMP1002,ADMINISTRATOR,Management,2026-04-15,Wednesday,2,9.916666666666666,PRESENT,0,10,0.0,9.184999999999999
EMP1002,ADMINISTRATOR,Management,2026-04-16,Thursday,4,7.866666666666666,PRESENT,0,11,0.0,9.251515151515152
